"subject" "activity" "signal" "axial" "mean" "std"
"1" "1" "Walking" "fBodyAcc" "X" -0.202794306326316 -0.319134719578947
"2" "1" "Walking" "fBodyAcc" "Y" 0.0897127264021053 0.056040006846
"3" "1" "Walking" "fBodyAcc" "Z" -0.331560117789474 -0.279686751494737
"4" "1" "Walking" "fBodyAccJerk" "X" -0.170546964549579 -0.133586606326316
"5" "1" "Walking" "fBodyAccJerk" "Y" -0.0352255241130632 0.106739857136
"6" "1" "Walking" "fBodyAccJerk" "Z" -0.468999224631579 -0.534713440421053
"7" "1" "Walking" "fBodyGyro" "X" -0.339032197115789 -0.516691938736842
"8" "1" "Walking" "fBodyGyro" "Y" -0.103059416434737 -0.0335081597884211
"9" "1" "Walking" "fBodyGyro" "Z" -0.255940940315789 -0.436562227473684
"10" "1" "Walking" "tBodyAcc" "X" 0.277330758736842 -0.283740258842105
"11" "1" "Walking" "tBodyAcc" "Y" -0.0173838185273684 0.114461336747368
"12" "1" "Walking" "tBodyAcc" "Z" -0.111148103547368 -0.260027902210526
"13" "1" "Walking" "tBodyAccJerk" "X" 0.0740416333157895 -0.113615602435789
"14" "1" "Walking" "tBodyAccJerk" "Y" 0.0282721095884211 0.0670025007684211
"15" "1" "Walking" "tBodyAccJerk" "Z" -0.00416840617789474 -0.502699788526316
"16" "1" "Walking" "tBodyGyro" "X" -0.041830963526 -0.473535485894737
"17" "1" "Walking" "tBodyGyro" "Y" -0.0695300462115789 -0.0546077686594737
"18" "1" "Walking" "tBodyGyro" "Z" 0.0849448173042105 -0.344266629473684
"19" "1" "Walking" "tBodyGyroJerk" "X" -0.0899975423705263 -0.207421854757895
"20" "1" "Walking" "tBodyGyroJerk" "Y" -0.0398428709463158 -0.304468510631579
"21" "1" "Walking" "tBodyGyroJerk" "Z" -0.0461309295021053 -0.404255452631579
"22" "1" "Walking" "tGravityAcc" "X" 0.935223201473684 -0.976609642526316
"23" "1" "Walking" "tGravityAcc" "Y" -0.282165021263158 -0.971305961473684
"24" "1" "Walking" "tGravityAcc" "Z" -0.068102864 -0.947717226105263
"25" "1" "Walking_upstairs" "fBodyAcc" "X" -0.404321784150943 -0.337428188679245
"26" "1" "Walking_upstairs" "fBodyAcc" "Y" -0.190976720811321 0.0217695106566038
"27" "1" "Walking_upstairs" "fBodyAcc" "Z" -0.433349702075472 0.0859565543849057
"28" "1" "Walking_upstairs" "fBodyAccJerk" "X" -0.479875245660377 -0.461907025849057
"29" "1" "Walking_upstairs" "fBodyAccJerk" "Y" -0.41344458754717 -0.381777065283019
"30" "1" "Walking_upstairs" "fBodyAccJerk" "Z" -0.685474353962264 -0.726040200754717
"31" "1" "Walking_upstairs" "fBodyGyro" "X" -0.492611667924528 -0.565892490754717
"32" "1" "Walking_upstairs" "fBodyGyro" "Y" -0.319474609056604 0.151538905566038
"33" "1" "Walking_upstairs" "fBodyGyro" "Z" -0.453597213018868 -0.57170784
"34" "1" "Walking_upstairs" "tBodyAcc" "X" 0.255461689622641 -0.35470802509434
"35" "1" "Walking_upstairs" "tBodyAcc" "Y" -0.0239531492643396 -0.00232026501698113
"36" "1" "Walking_upstairs" "tBodyAcc" "Z" -0.0973020020943396 -0.0194792388471698
"37" "1" "Walking_upstairs" "tBodyAccJerk" "X" 0.101372729922642 -0.446843887735849
"38" "1" "Walking_upstairs" "tBodyAccJerk" "Y" 0.0194863076188679 -0.378274426037736
"39" "1" "Walking_upstairs" "tBodyAccJerk" "Z" -0.0455625449113208 -0.706593530943396
"40" "1" "Walking_upstairs" "tBodyGyro" "X" 0.050549379754717 -0.544871104528302
"41" "1" "Walking_upstairs" "tBodyGyro" "Y" -0.166170015088679 0.00410518379811321
"42" "1" "Walking_upstairs" "tBodyGyro" "Z" 0.0583595463981132 -0.50716867490566
"43" "1" "Walking_upstairs" "tBodyGyroJerk" "X" -0.122232768011321 -0.614786508490566
"44" "1" "Walking_upstairs" "tBodyGyroJerk" "Y" -0.0421485884509434 -0.601696656226415
"45" "1" "Walking_upstairs" "tBodyGyroJerk" "Z" -0.0407125527654717 -0.606332002264151
"46" "1" "Walking_upstairs" "tGravityAcc" "X" 0.89335109754717 -0.956367027924528
"47" "1" "Walking_upstairs" "tGravityAcc" "Y" -0.362153364339623 -0.952849233207547
"48" "1" "Walking_upstairs" "tGravityAcc" "Z" -0.075402939754717 -0.912379410377358
"49" "1" "Walking_downstairs" "fBodyAcc" "X" 0.0382291831510204 0.0243308391387755
"50" "1" "Walking_downstairs" "fBodyAcc" "Y" 0.00154990783591837 -0.112963739953061
"51" "1" "Walking_downstairs" "fBodyAcc" "Z" -0.225574471693878 -0.297927894693878
"52" "1" "Walking_downstairs" "fBodyAccJerk" "X" -0.0276638676122449 -0.0863278966402041
"53" "1" "Walking_downstairs" "fBodyAccJerk" "Y" -0.12866715764898 -0.134580008877551
"54" "1" "Walking_downstairs" "fBodyAccJerk" "Z" -0.288334735714286 -0.401721464285714
"55" "1" "Walking_downstairs" "fBodyGyro" "X" -0.352449631363265 -0.495422486102041
"56" "1" "Walking_downstairs" "fBodyGyro" "Y" -0.0557022524693878 -0.181414728657143
"57" "1" "Walking_downstairs" "fBodyGyro" "Z" -0.0318694271979592 -0.238443565306122
"58" "1" "Walking_downstairs" "tBodyAcc" "X" 0.289188320408163 0.0300353383483878
"59" "1" "Walking_downstairs" "tBodyAcc" "Y" -0.00991850461020408 -0.0319359434489796
"60" "1" "Walking_downstairs" "tBodyAcc" "Z" -0.107566190908163 -0.230434213204082
"61" "1" "Walking_downstairs" "tBodyAccJerk" "X" 0.0541553164897959 -0.012283860544898
"62" "1" "Walking_downstairs" "tBodyAccJerk" "Y" 0.0296504490408163 -0.101601390640816
"63" "1" "Walking_downstairs" "tBodyAccJerk" "Z" -0.0109719730183673 -0.345735032326531
"64" "1" "Walking_downstairs" "tBodyGyro" "X" -0.0350781902989796 -0.458030542938775
"65" "1" "Walking_downstairs" "tBodyGyro" "Y" -0.0909371290204082 -0.126349194938775
"66" "1" "Walking_downstairs" "tBodyGyro" "Z" 0.0900850142030612 -0.124702454242857
"67" "1" "Walking_downstairs" "tBodyGyroJerk" "X" -0.0739592036271429 -0.487027342244898
"68" "1" "Walking_downstairs" "tBodyGyroJerk" "Y" -0.0439902783367347 -0.238824827530612
"69" "1" "Walking_downstairs" "tBodyGyroJerk" "Z" -0.0270461061061224 -0.268761480242857
"70" "1" "Walking_downstairs" "tGravityAcc" "X" 0.931874418979592 -0.950559811632653
"71" "1" "Walking_downstairs" "tGravityAcc" "Y" -0.266610338979592 -0.937018658979592
"72" "1" "Walking_downstairs" "tGravityAcc" "Z" -0.0621199585938775 -0.895939695102041
"73" "1" "sitting" "fBodyAcc" "X" -0.979641238723404 -0.976412313191489
